"id","group_id","username","user_type","department","created_at","updated_at"
1,7,bkk,"1.รองปลัดกรุงเทพมหานคร",รองปลัดกรุงเทพมหานคร,,
2,7,provincetest10,"2.จังหวัด ทั้งหมด",ศอ.ปส.จ กรุงเทพมหานคร,,
3,7,provincetest18,"2.จังหวัด ทั้งหมด",ศอ.ปส.จ ชัยนาท,,
4,8,thaigov,"1.สำนักนายกรัฐมนตรี",สำนักนายกรัฐมนตรี,,
5,8,moi,"2.สำนักงานปลัดของกระทรวง",สำนักงานปลัดกระทรวงมหาดไทย,,
6,8,mod,"2.สำนักงานปลัดของกระทรวง",สำนักงานปลัดกระทรวงกลาโหม,,
7,8,moj1,"3.น.ส.สุรีรัตน์ เถื่อนชัย",นางสาวสุรีรัตน์ เถื่อนชัย,,
8,9,bkktest1030,"1.เขต ใน กทม.",เขตจตุจักร,,
9,9,amptest1802,"2.อำเภอ ใน ต่างจังหวัด",อำเภอมโนรมย์,,
10,9,amp1297,"3.เทศบาลนคร",เทศบาลนครปากเกร็ด,,
11,9,amp1384,"4.เทศบาลเมือง",เทศบาลเมืองคลองหลวง,,
12,12,oncb_center,"1.สำนักงาน ป.ป.ส.(กองทุนแม่ฯ)",สำนักงาน ป.ป.ส.(กองทุนแม่ฯ),,
13,13,oncb,"1.สำนักงาน ป.ป.ส.",สำนักงาน ป.ป.ส.,,
14,13,oncbtest01,"2.สำนักงาน ปปส. ภาค,กทม.",สำนักงาน ปปส. ภาค 1,,
15,13,oncb20,"2.สำนักงาน ปปส. ภาค,กทม.",วต.สยศ,,
16,13,ITC,"3.กอง ใน ปปส.",ศทส.,,
17,13,oncbplan,"4.ส่วนแผนงานและงบประมาณ สยศ.",ส่วนแผนงานและงบประมาณ สยศ.,,
18,13,oncbprog,"5.ส่วนติดตามและประเมินผล สยศ.",ส่วนติดตามและประเมินผล สยศ.,,
19,13,oncb1386,"6.ร้องเรียน 1386",ร้องเรียน 1386,,
